id,label
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,0
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,1
632,0
633,1
634,1
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,0
766,1
767,1
768,1
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,1
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,1
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,1
